== Overall (position-level) ==
Micro  SP=0.6745  SR=0.6977  SF1=0.6859   (overlap=893, pred_pos=1324, gold_pos=1280)
Micro* MP=0.6158  MR=0.4479  MF1=0.5186   (overlap_major=258, pred_major_pos=419, gold_major_pos=576)
Macro  SP=0.6424  SR=0.7306  SF1=0.7114   (items_with_pred=135, items_with_gold=131)
Macro* MP=0.5251  MR=0.4040  MF1=0.7218   (items_with_pred_major=80, items_with_gold_major=88)

== Per-system (Micro/Macro) ==
[default]  Micro  SP=0.6745 SR=0.6977 SF1=0.6859  | Micro* MP=0.6158 MR=0.4479 MF1=0.5186  || Macro  SP=0.6424 SR=0.7306 SF1=0.7114  | Macro* MP=0.5251 MR=0.4040 MF1=0.7218

#id     system      SP      SR      SF1     MP      MR      MF1     n_pred_pos  n_pred_major_pos  n_gold_pos  n_gold_major_pos  overlap  overlap_major
0       default     1.0000  0.3333  0.5000  1.0000  0.3333  0.5000  1           1                 3           3                 1        1            
1       default     1.0000  1.0000  1.0000  0.0000  n/a     n/a     13          8                 13          0                 13       0            
10      default     0.6250  0.6250  0.6250  n/a     0.0000  n/a     8           0                 8           2                 5        0            
100     default     0.7333  0.4783  0.5789  0.0000  0.0000  n/a     15          2                 23          6                 11       0            
1001    default     0.0000  0.0000  n/a     0.0000  n/a     n/a     4           4                 1           0                 0        0            
1002    default     0.4000  0.6667  0.5000  1.0000  0.3333  0.5000  10          2                 6           6                 4        2            
1003    default     0.0000  0.0000  n/a     0.0000  n/a     n/a     3           2                 2           0                 0        0            
1004    default     0.2857  0.6667  0.4000  1.0000  0.6667  0.8000  7           2                 3           3                 2        2            
1005    default     0.5000  1.0000  0.6667  n/a     0.0000  n/a     2           0                 1           1                 1        0            
1006    default     0.4286  0.8571  0.5714  n/a     0.0000  n/a     14          0                 7           7                 6        0            
1008    default     0.2000  0.2000  0.2000  0.0000  n/a     n/a     5           2                 5           0                 1        0            
1009    default     0.5000  1.0000  0.6667  1.0000  1.0000  1.0000  4           2                 2           2                 2        2            
101     default     0.7500  0.5455  0.6316  0.0000  0.0000  n/a     8           2                 11          1                 6        0            
